Date,Num Highs,Num Lows,Strength
2014-06-23,300,10,96.7741935483871
2014-06-24,287,11,96.30872483221476
2014-06-25,293,11,96.38157894736842
2014-06-26,286,14,95.33333333333334
2014-06-27,290,13,95.7095709570957
2014-06-30,292,11,96.36963696369637
2014-07-01,300,9,97.0873786407767
2014-07-02,299,9,97.07792207792208
2014-07-03,298,5,98.34983498349835
2014-07-07,288,8,97.2972972972973
2014-07-08,279,13,95.54794520547944
2014-07-09,282,9,96.90721649484536
2014-07-10,275,15,94.82758620689656
2014-07-11,275,15,94.82758620689656
2014-07-14,275,11,96.15384615384616
2014-07-15,274,13,95.47038327526133
2014-07-16,280,13,95.5631399317406
2014-07-17,242,17,93.43629343629344
2014-07-18,269,13,95.3900709219858
2014-07-21,254,16,94.07407407407408
2014-07-22,267,14,95.01779359430606
2014-07-23,265,13,95.32374100719424
2014-07-24,261,11,95.95588235294116
2014-07-25,249,16,93.9622641509434
2014-07-28,249,14,94.6768060836502
2014-07-29,233,13,94.71544715447156
2014-07-30,221,14,94.04255319148936
2014-07-31,152,17,89.94082840236686
2014-08-01,132,23,85.16129032258064
2014-08-04,165,19,89.67391304347827
2014-08-05,131,22,85.62091503267973
2014-08-06,134,21,86.45161290322581
2014-08-07,114,26,81.42857142857143
2014-08-08,150,16,90.36144578313254
2014-08-11,159,14,91.90751445086704
2014-08-12,161,17,90.4494382022472
2014-08-13,177,17,91.23711340206184
2014-08-14,192,13,93.65853658536588
2014-08-15,188,17,91.70731707317074
2014-08-18,217,14,93.93939393939394
2014-08-19,231,14,94.28571428571428
2014-08-20,241,12,95.25691699604744
2014-08-21,250,10,96.15384615384616
2014-08-22,234,10,95.90163934426228
2014-08-25,249,7,97.265625
2014-08-26,255,7,97.32824427480917
2014-08-27,254,8,96.94656488549616
2014-08-28,250,7,97.27626459143968
2014-08-29,261,8,97.02602230483272
2014-09-02,256,8,96.96969696969695
2014-09-03,257,10,96.25468164794007
2014-09-04,252,10,96.18320610687024
2014-09-05,260,12,95.58823529411764
2014-09-08,247,11,95.73643410852712
